,From,Amount
0,25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,"29,778,841.42 Choice"
1,25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,3.4
2,5EAV5ZEWQ33XZ25STXG7OL4IMHONBBBSPX5BVU3DA55OWOLQJGRUIJ2MOM,"11,124.41 Choice"
3,GY43SCKR4OUOCNZBGZYLY3IO23QGNOTGOOGI444NRAWDJKO5YVO2FPGE7M,"23,591 Choice"
4,7SE7G4UHQHXXDLZ2HYWC5PJVA63ME5IESLUYNOPLLVMMVAWQCCUS4O5HHQ,"10,000 Choice"
5,CUP3YICRKEOGYVBBP7T45NGTI6C7XEBNB44GYAQ2XKJCH4E3DEPBAQOLUI,"10,929 Choice"
6,FADUJROYHHKJOSCZAAPW7NS6LRATRMIJ4DJVASPOSOR6TRACNYBUKHDY7A,300 Choice
7,JBGLAMY5F64RDOCYADWICHV2VUGK5MQOJESEBC47JPCRQRJSNHDQ5XPRS4,100 Choice
8,OB2YDFAM2AIV6EN5CLWLISAKUO5K5BESRCPIN5ANPDELQVQOQCKH3DZBGA,1 Choice
9,23Y7HXC7EDQKKAOQQN5A2FLKFOEVQUYT4B6PYZKLDF5AN5EEVJ3Q3WCMN4,500 Choice
10,WN6IA5FQR4KE2XGCM3ZPAUBUZ3AZS6VIGSN63LB63QXKPFQD3GXR4QEWEM,"30,586 Choice"
11,5F5XDX2Q4HK3F4RLNLLQRVMRHI42GCSFKMFOSC4FNDXW2UTOBXY5OWAHXU,"66,765 Choice"
12,3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,"21,755.96 Choice"
13,3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,1 Choice
14,RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,10 Choice
15,RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,2 Choice
16,SHSVAPD3KMF6IXCKPQRRRE3SZKDZ43H5UT2EHUZBAQZJEYBJAYCOQAVYSI,"20,653 Choice"
17,5CQWJGYHVX2YOOT4LFCP5TP5RNBSS64GK3HNHGLF3UJ7GCCEGNT3AJOBAA,500 Choice
18,APJUGCWYTG2VAWPGWWDBRYUU3ZE3MNNXS3KH2FOUFKTBP7I76CUD2BPUSI,99.69 Choice
19,USNVBAWXO3E4TNTM762QAEIAQOS7TDDC5JF6GZASUM3WMVLKYNUUL3HQMI,1 Choice
20,T7RDYVHWGMEUET2XT6R5VVMDMGHM24LLVT6BRTINL3G7WZYJHRPGUJ47PQ,"17,508 Choice"
21,47556QB2B4RTFALRTRXGEMO5QLH5PNPXRV2O6QEXLF5BVXT73GKORUIXQE,176.78 Choice
22,P72UA5RNPL4LMAFGADIP6WOSXQXIIMICBHV3LEPERWKCEO75VJBSXXER2I,"12,712.92 Choice"
23,ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM,13 Choice
24,O4VQOR7NK7ZRJIKEBY73VL233JKPNEVF37WVI6VKRFIQUIA7FQJDVF3OSQ,"50,000 Choice"
25,CU3QNG7XJ25JBPXJRGSMZQNP2WSXPNSHWGCTMNBZMRJJ5YZSAETMXBL6YI,100 Choice
26,W3LDQG4MOWMEJ4PEJPLCX4W23XELS7HD4LIC57SVV4XIFAJZN65TUY26I4,"9,273 Choice"
27,EU6FGLIPNQ4RH54IRFFQF4KXALX4BYL6XGHU5GA6K3SXUFCGE232CMSZ7Q,"10,417 Choice"
28,36X2NU3RXBMHVYIZNLWUZS6JOZCNZWGLJMNQ5P2FCHBHUV6TR443DCQXWM,"40,000 Choice"
29,3XVJ2KGI7Y2ODFMQJ6DIHCLT2M63ALPJWCGXQXJWDH5MSSHNR7B3HJIRJA,219 Choice
30,EJ33U3PAF23AUT2P3HIY4E7BI4UAE2PHPHQVOTABICVGFVRGB62VKKULZE,"166,103 Choice"
31,PQPPTTYZC7BY2CJN4HOW34PL4E4XHNEG7TTBEFAZF36M5F3PUYNTBDIHBY,15 Choice
32,WXIVDKGSBDBLBNKP3ZYEXJU5WHBEPYLKOQAWXBYFGJ6VDVZQA3WCLSE4WA,"186,600 Choice"
33,D73EIOFYMTSYF2OBOUJW4ZPXPMZJ22GWUY6HY7VGCFX5T6U3VPK5VWMN5I,1 Choice
34,DNF2WRWW2H3V26YR5BUCLKIUKFLTOOBBFUR6OWSSYSZGEYPQDQC3B4TAOI,"12,300.72 Choice"
35,J4DHYLTCVULW773YVQ3PK7RIMOETAWZ2OLMMPVWFEUR4JYBOANJI7ED7FE,"10,000 Choice"
36,QZYDDAY437K5DZ7U3ZJ5MXKMSLJRKLWJUSLJ5WXTGE5VLYHIT7SJ3D76YQ,"510,000 Choice"
37,PB4OH3X2YFCDOFU75PVFHC4FSAOVBMJJG7GVMRK433GATX6EBRXUYKADTM,"1,124 Choice"
38,ETT4BWE5FSJMAZJKGMRZFBRLVYSVSXVG5FULK34LXMLJ7J2UKLMO5DNB6U,"46,524.67 Choice"
39,3AJGLNBO5OOILRIVXDJ5TAAVSSKMIJDMI5T23MIDFOKZNLRNQ5FMIZQKRA,"212,000 Choice"
40,7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM,"2,274 Choice"
41,7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM,1 Choice
42,SWZCEHH3NLT4K5PTLZYBHWHDG5NPOOYMBOBDC5VVT7DI5CQ3DLHDVMF4GE,1 Choice
