from,amount
25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,2977884142
25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,3400000
5EAV5ZEWQ33XZ25STXG7OL4IMHONBBBSPX5BVU3DA55OWOLQJGRUIJ2MOM,1112441
GY43SCKR4OUOCNZBGZYLY3IO23QGNOTGOOGI444NRAWDJKO5YVO2FPGE7M,2359100
7SE7G4UHQHXXDLZ2HYWC5PJVA63ME5IESLUYNOPLLVMMVAWQCCUS4O5HHQ,1000000
CUP3YICRKEOGYVBBP7T45NGTI6C7XEBNB44GYAQ2XKJCH4E3DEPBAQOLUI,1092900
FADUJROYHHKJOSCZAAPW7NS6LRATRMIJ4DJVASPOSOR6TRACNYBUKHDY7A,30000
JBGLAMY5F64RDOCYADWICHV2VUGK5MQOJESEBC47JPCRQRJSNHDQ5XPRS4,10000
OB2YDFAM2AIV6EN5CLWLISAKUO5K5BESRCPIN5ANPDELQVQOQCKH3DZBGA,100
23Y7HXC7EDQKKAOQQN5A2FLKFOEVQUYT4B6PYZKLDF5AN5EEVJ3Q3WCMN4,50000
WN6IA5FQR4KE2XGCM3ZPAUBUZ3AZS6VIGSN63LB63QXKPFQD3GXR4QEWEM,3058600
5F5XDX2Q4HK3F4RLNLLQRVMRHI42GCSFKMFOSC4FNDXW2UTOBXY5OWAHXU,6676500
3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,2175596
3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,100
RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,1000
RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,200
SHSVAPD3KMF6IXCKPQRRRE3SZKDZ43H5UT2EHUZBAQZJEYBJAYCOQAVYSI,2065300
5CQWJGYHVX2YOOT4LFCP5TP5RNBSS64GK3HNHGLF3UJ7GCCEGNT3AJOBAA,50000
APJUGCWYTG2VAWPGWWDBRYUU3ZE3MNNXS3KH2FOUFKTBP7I76CUD2BPUSI,9969
USNVBAWXO3E4TNTM762QAEIAQOS7TDDC5JF6GZASUM3WMVLKYNUUL3HQMI,100
T7RDYVHWGMEUET2XT6R5VVMDMGHM24LLVT6BRTINL3G7WZYJHRPGUJ47PQ,1750800
47556QB2B4RTFALRTRXGEMO5QLH5PNPXRV2O6QEXLF5BVXT73GKORUIXQE,17678
P72UA5RNPL4LMAFGADIP6WOSXQXIIMICBHV3LEPERWKCEO75VJBSXXER2I,1271292
ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM,1300
O4VQOR7NK7ZRJIKEBY73VL233JKPNEVF37WVI6VKRFIQUIA7FQJDVF3OSQ,5000000
CU3QNG7XJ25JBPXJRGSMZQNP2WSXPNSHWGCTMNBZMRJJ5YZSAETMXBL6YI,10000
W3LDQG4MOWMEJ4PEJPLCX4W23XELS7HD4LIC57SVV4XIFAJZN65TUY26I4,927300
EU6FGLIPNQ4RH54IRFFQF4KXALX4BYL6XGHU5GA6K3SXUFCGE232CMSZ7Q,1041700
36X2NU3RXBMHVYIZNLWUZS6JOZCNZWGLJMNQ5P2FCHBHUV6TR443DCQXWM,4000000
ICZ6ET5NGNTGEATHHDDIIEKD7767J4PY247VRMFJO53E23KDLUIFZ6CVJU,21900
S2YGM2B4WLDSBS7VAKST7L4YWHVRD3WNEAKNPA7V27VYP3BEICN6BECG24,169000000
KRZYFYXTQ3YK5ADN4VFYFHGRLA6RGUIEO3D54LZC3MV5LKI66P3LDLPVTI,16551
IHO3P4SVSR7ZKEATJ7M7ASWO37YDMGY2D2LGAXVLI6IKWYC2HPMHKGYHFU,100
4OZMZUYDTVIY4LBEOA6VN42QB3VWWOA3VBBB7QPS2L5UISSE5L2D2BZGBU,9200
65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI,29000
M6DGARECI4RCRLQVEQVXSYMQPGNQPHT2SULNFPB3AWKUGGOJLQS7L3PJYU,210694100
65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI,29000
EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E,100
EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E,150000
3XVJ2KGI7Y2ODFMQJ6DIHCLT2M63ALPJWCGXQXJWDH5MSSHNR7B3HJIRJA,50000
EJ33U3PAF23AUT2P3HIY4E7BI4UAE2PHPHQVOTABICVGFVRGB62VKKULZE,16610300
PQPPTTYZC7BY2CJN4HOW34PL4E4XHNEG7TTBEFAZF36M5F3PUYNTBDIHBY,1500
WXIVDKGSBDBLBNKP3ZYEXJU5WHBEPYLKOQAWXBYFGJ6VDVZQA3WCLSE4WA,18660000
D73EIOFYMTSYF2OBOUJW4ZPXPMZJ22GWUY6HY7VGCFX5T6U3VPK5VWMN5I,100
DNF2WRWW2H3V26YR5BUCLKIUKFLTOOBBFUR6OWSSYSZGEYPQDQC3B4TAOI,1230072
J4DHYLTCVULW773YVQ3PK7RIMOETAWZ2OLMMPVWFEUR4JYBOANJI7ED7FE,1000000
QZYDDAY437K5DZ7U3ZJ5MXKMSLJRKLWJUSLJ5WXTGE5VLYHIT7SJ3D76YQ,51000000
PB4OH3X2YFCDOFU75PVFHC4FSAOVBMJJG7GVMRK433GATX6EBRXUYKADTM,112400
ETT4BWE5FSJMAZJKGMRZFBRLVYSVSXVG5FULK34LXMLJ7J2UKLMO5DNB6U,4652467
3AJGLNBO5OOILRIVXDJ5TAAVSSKMIJDMI5T23MIDFOKZNLRNQ5FMIZQKRA,21200000
7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM,227400
7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM,100
SWZCEHH3NLT4K5PTLZYBHWHDG5NPOOYMBOBDC5VVT7DI5CQ3DLHDVMF4GE,100
FQSWNAE6KWQQZMEA3BNFXWAKNIMA37H62EUBS35GZ43X6SIQ4JL262G5RU,30561100
HLUHD6V3CDMAPKPKY34ML3BQUZ4IPSKLCCAJIP26FBPCW5AJMFS554UAVE,8245723
IWGN6U3TR3N5HA4JU7WF76BKIL56GZNZFISGTH5AUZFD5RXE7LUIQERF4U,29190700
5UM3GPAHRXZGTHXZGKDK5A7DDUAZRHOVPFYWSSI77N4KREQFZCVAW2F3BM,1855700
KVDAVPZ2MLJEOJ3HYCCHUS47HYMNCAOWISCKWNMUCTKQLIVXXZLZINFH6A,8302
K5TPEBPC7JZWLSQ5HDNZRCP3ZAXB24M5JM3AXJJ75EQDIIXMP3SKJOZYEA,22246400
IJLFVZSRNSUWEBMG2EQYVHTHA7CF6J4CM3CFPT3EUDTQ5SR7DAB3HDTI64,63900
Z2GKR7XRSNJJJV36Z7C6P7CKMPP3XPNBR3E7KK523UH4L74UUIJKPF37LY,9400
FVVA7WLFYETZW5GJFTSKDYI5G2KG5WJUR6NZ62W5ARXBI6AZMZ2BPAXZJM,50000
BLULZIHFMRNB3P64EZ627JSKIMT7D5AJXT34GOCR5G6QM7QY5HRFXQU7NU,17750000
2NPXEOYKR4DNAUSN2CW2HP24NP2R5GXZCB54B5IM3KM73PY2IC2PGOVND4,16193600
5KZ5LHJ3VM6T2FVSDO7XIPURLRBTU32JHVJUBCOZWT44BDPBQ23JFMIU4I,1000000
XCQIBEJVGXYPIQBIGMYFC7SB5KHT7XDVZMSNNUL6SDXBTQPHCAUDPHU6RU,150361029
ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM,1129500
6CGHQGDI5TC5PPDPPOL5UIOXKSC2GXYK3LPQFHKLUSQJ4GOXBHJ2NH27NY,12982000
QTWXMYY2ZTSTU7P7OU6UALK52OMOWSOQBTOMNZ7OWIJDOEZ4XBOKN3UZOQ,23451700
PNCFHJVW745E6TTL3TUEPS32M7URUYZZE6JBYGWUGG6AAPREGC36J7ZK7U,140000
SFRPHD5GTSDGSFQPLRQIKATPINYSXIBKWQK6ABN5KTSASUEUNANJKAF44U,10000
2OFDYTRHJPM5SYD6E2L4QCZN6ULSTYJPFAXNBYXKIMVJQN6MVYCDCYEUQA,2000000
ZENPJCF6PTQM4WR2VPUFN6STB3VGUGI52CI7SVECA5UBU2YCZ66ANQTR64,160300
P3JLV7RZKG4LL6EVDAUVCR4RW7TMDNZOT5E3NUPW6427DU43VILESV7D74,1300000
7XEWH7HI2HQUDSD3PZ4XHPV5EVW3JVG64GZ52M46CMP5PZTWL2Y6JIGPEA,100
EHRIQ3JN2ITOA2GSC5Q3ALBMH266L2JCTHT7HZZYTL4KITQ6XZ4AZNBF5Y,100
755ZXG5DF3HF4WD4IAJMLSSZHAEO4ZYEGGS5ITNWR2D4OBHQJRRVVJ47QA,100000
2BZIB44OGDQEMMMQVBFJ2LSLHJABHZSD5GFE5ZYJJ7QLEJOTHD6GAN7QNI,7000000
AGK44HQJHY3EY6S2YDELW2SMTJYUAEAOX7NT5IXVAZM52SB5YRJNNFOCNE,588128
AGK44HQJHY3EY6S2YDELW2SMTJYUAEAOX7NT5IXVAZM52SB5YRJNNFOCNE,847933
5MR2CSNP7IXLY7FAEGOMJRPZUDUCBD4IWUTB5HX54SF6RG2EC47SLZVQ3U,40000
5QLSBD3MY4TGLK3PMTHVQ5XLDQ3LS7N2S2CFFRQYFBI2FXWWWA3PI2FQQM,1082800
NPYBQ2CX2NS6AMNWTPCHYV4H3EJ65MNCQD34NEIQRYQLL3GQ3AWVREDLMY,512300
PQPPTTYZC7BY2CJN4HOW34PL4E4XHNEG7TTBEFAZF36M5F3PUYNTBDIHBY,2900
4OZMZUYDTVIY4LBEOA6VN42QB3VWWOA3VBBB7QPS2L5UISSE5L2D2BZGBU,100
XFOQO5VH2LGPM2GSYLOXZXF6GLT5Y64UQ6XWOZM5EXGJKHYQCVS2ENRVKU,1500000
C5MWAU6LKHA6RBEX4224MZQD3GTUEL2AXEOTJDYENT6U5W2UTIK4GZEFZI,20040
KGLUF5WZMLDMLT67FLZZSY4MMSR5PDRRHTTF75DV5GG2NXGCHT7MB7LPKM,100
PAPZFFMC4FXBJ54OKBAJSAQ34FKRW7KLQTYUNTJTV3I6PO37CUQDJTW2BA,0
BBHTP2POLRGWUZTGQ36PMJ4T4TNZMX42F2FEX6LY6BLLFC2L6XIAJKNZ24,544046
WMJZYDEWJLYVZYIPW55TKM5BBC4YWRST2M4MOBU5XTISSHIY4PZVH3CNIA,1000000
THGUJR7LP4B5JWLKB5D24TQTVKAYORKVXXO7VTPKUHC6EDCABRGMAFV564,17000000
PZM2YC5YER6DYGF3COSEZNB2DXGXZ5NQOY2Y3GTVVF6EWTZVNJZ6EAGY7U,1067300
DY6TCA2FAKCG7KRUMQ442V3WT547LUZPTHEOBJ7P4OL2AQMKGOTXQCIC3E,5100000
ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE,130000
